Fecha,"Deuda Total Neta del Sector Público Económico Amplio, Saldos al final del periodo"
Ene 1980,1.10
Feb 1980,1.10
Mar 1980,1.10
Abr 1980,1.10
May 1980,1.10
Jun 1980,1.10
Jul 1980,1.20
Ago 1980,1.20
Sep 1980,1.20
Oct 1980,1.20
Nov 1980,1.30
Dic 1980,1.40
Ene 1981,1.40
Feb 1981,1.50
Mar 1981,1.50
Abr 1981,1.60
May 1981,1.60
Jun 1981,1.60
Jul 1981,1.80
Ago 1981,1.90
Sep 1981,2.00
Oct 1981,2.10
Nov 1981,2.20
Dic 1981,2.30
Ene 1982,2.40
Feb 1982,3.90
Mar 1982,3.90
Abr 1982,4.00
May 1982,4.20
Jun 1982,4.10
Jul 1982,4.50
Ago 1982,6.20
Sep 1982,6.30
Oct 1982,6.50
Nov 1982,6.50
Dic 1982,8.70
Ene 1983,8.90
Feb 1983,9.10
Mar 1983,9.40
Abr 1983,9.70
May 1983,10.00
Jun 1983,9.60
Jul 1983,11.00
Ago 1983,11.50
Sep 1983,11.80
Oct 1983,12.60
Nov 1983,13.00
Dic 1983,13.70
Ene 1984,14.20
Feb 1984,14.80
Mar 1984,15.20
Abr 1984,15.80
May 1984,16.40
Jun 1984,15.60
Jul 1984,17.50
Ago 1984,18.10
Sep 1984,18.50
Oct 1984,18.90
Nov 1984,19.10
Dic 1984,20.00
Ene 1985,20.60
Feb 1985,21.20
Mar 1985,22.00
Abr 1985,22.80
May 1985,23.60
Jun 1985,22.90
Jul 1985,29.20
Ago 1985,30.30
Sep 1985,31.60
Oct 1985,32.90
Nov 1985,34.70
Dic 1985,37.80
Ene 1986,40.70
Feb 1986,43.80
Mar 1986,47.10
Abr 1986,50.90
May 1986,53.90
Jun 1986,50.00
Jul 1986,63.90
Ago 1986,70.20
Sep 1986,75.70
Oct 1986,80.50
Nov 1986,86.40
Dic 1986,94.50
Ene 1987,101.50
Feb 1987,106.60
Mar 1987,114.80
Abr 1987,123.00
May 1987,130.80
Jun 1987,117.20
Jul 1987,147.00
Ago 1987,155.30
Sep 1987,162.70
Oct 1987,173.20
Nov 1987,187.20
Dic 1987,229.90
Ene 1988,235.00
Feb 1988,245.10
Mar 1988,248.90
Abr 1988,251.80
May 1988,254.30
Jun 1988,258.60
Jul 1988,258.00
Ago 1988,259.50
Sep 1988,260.80
Oct 1988,263.80
Nov 1988,269.10
Dic 1988,276.50
Ene 1989,279.40
Feb 1989,284.00
Mar 1989,286.40
Abr 1989,291.80
May 1989,294.50
Jun 1989,295.40
Jul 1989,304.90
Ago 1989,306.40
Sep 1989,307.80
Oct 1989,314.20
Nov 1989,320.00
Dic 1989,321.50
Ene 1990,330.50
Feb 1990,335.50
Mar 1990,318.10
Abr 1990,320.90
May 1990,328.40
Jun 1990,328.30
Jul 1990,338.50
Ago 1990,340.70
Sep 1990,343.20
Oct 1990,349.90
