Fecha,INPP sin Petróleo y con Servicios,INPP con Petróleo y con Servicios
Ene 2003,N/E,N/E
Feb 2003,N/E,N/E
Mar 2003,N/E,N/E
Abr 2003,N/E,N/E
May 2003,N/E,N/E
Jun 2003,N/E,N/E
Jul 2003,N/E,N/E
Ago 2003,N/E,N/E
Sep 2003,N/E,N/E
Oct 2003,N/E,N/E
Nov 2003,N/E,N/E
Dic 2003,48.573241449396,48.719766378275
Ene 2004,48.889453251232,49.037419255061
Feb 2004,49.478646670013,49.622543649264
Mar 2004,50.016838185273,50.193052113554
Abr 2004,50.496741810793,50.699737683888
May 2004,50.750294131158,51.026160118622
Jun 2004,51.107307455811,51.340402611762
Jul 2004,51.371060156882,51.641977965644
Ago 2004,51.661528140749,51.965477214395
Sep 2004,51.813076654071,52.139406780366
Oct 2004,52.026798916448,52.431725378635
Nov 2004,52.409070326655,52.678247396510
Dic 2004,52.513017063357,52.687504152121
Ene 2005,52.674765957383,52.921846228401
Feb 2005,52.869544655596,53.147905944396
Mar 2005,53.069180677953,53.436814159019
Abr 2005,53.186727922260,53.581024667499
May 2005,53.201299894695,53.595153399749
Jun 2005,53.190128049162,53.658976293704
Jul 2005,53.560256149006,54.042888052765
Ago 2005,53.557341754519,54.109634132703
Sep 2005,53.667603012609,54.247023873890
Oct 2005,53.931841446094,54.443364532394
Nov 2005,54.137306257425,54.562240762357
Dic 2005,54.356857308776,54.795121245646
Ene 2006,54.742528845884,55.273549351480
Feb 2006,54.950908051702,55.445042929132
Mar 2006,55.179688018929,55.745156690022
Abr 2006,55.644533939600,56.353179374423
May 2006,56.273071683955,56.987023535004
Jun 2006,56.632999403095,57.349985794522
Jul 2006,56.945325345614,57.688100973188
Ago 2006,57.178476904572,57.918545468157
Sep 2006,57.347511784815,57.927802223769
Oct 2006,57.252793963989,57.768488587712
Nov 2006,57.416971520088,57.913673491519
Dic 2006,57.620493401761,58.149477160790
Ene 2007,57.756012745405,58.188452973892
Feb 2007,58.033365954081,58.553364024066
Mar 2007,58.276717893742,58.850067401309
Abr 2007,58.478782578172,59.118513314054
May 2007,58.553099637589,59.212055265500
Jun 2007,58.814909409002,59.545785665191
Jul 2007,59.055832686591,59.872695297589
Ago 2007,59.258868835849,60.072446339740
Sep 2007,59.432761040238,60.335045880519
Oct 2007,59.573137708027,60.540643294636
Nov 2007,59.867491551210,60.980582785031
Dic 2007,60.020011529361,61.122357305192
Ene 2008,60.430941152023,61.563271190916
Feb 2008,61.036649472897,62.162037119705
Mar 2008,61.702102880754,62.965913264946
Abr 2008,62.164034406938,63.503779485762
May 2008,62.645395229701,64.158573145886
Jun 2008,63.119955798662,64.788519725157
Jul 2008,63.660090243579,65.403850374515
Ago 2008,63.612974199373,65.074991951462
Sep 2008,63.902470718411,65.072555963143
Oct 2008,64.841877208043,65.718580065319
Nov 2008,65.091057936678,65.600191033019
Dic 2008,65.180432700945,65.496417930634
Ene 2009,65.195004673380,65.653295578372
Feb 2009,65.547160673888,66.060105627630
Mar 2009,65.912917182002,66.551688070387
Abr 2009,65.592333788436,66.264241448755
May 2009,65.287293832134,66.142442032810
Jun 2009,65.464100431010,66.516609838595
Jul 2009,65.678794158216,66.648640405480
Ago 2009,65.862401010895,66.938035817767
Sep 2009,66.352019284705,67.412079144627
Oct 2009,66.431679400682,67.576751954986
Nov 2009,66.785778330848,67.994767550512
