Título,Ingresos Presupuestales del Sector Público.
01/01/1977,30.2
01/02/1977,57.7
01/03/1977,95.4
01/04/1977,125.4
01/05/1977,164.1
01/06/1977,194.1
01/07/1977,226.7
01/08/1977,259.6
01/09/1977,300.5
01/10/1977,332.6
01/11/1977,371.2
01/12/1977,419.3
01/01/1978,42.7
01/02/1978,76.9
01/03/1978,123.3
01/04/1978,163.9
01/05/1978,217.1
01/06/1978,256.8
01/07/1978,302.3
01/08/1978,342.9
01/09/1978,398.7
01/10/1978,443
01/11/1978,491.8
01/12/1978,553.1
01/01/1979,54.2
01/02/1979,92.3
01/03/1979,162.1
01/04/1979,210.6
01/05/1979,281.3
01/06/1979,338.4
01/07/1979,399.5
01/08/1979,456.4
01/09/1979,539.3
01/10/1979,597
01/11/1979,670.2
01/12/1979,751.1
01/01/1980,80.3
01/02/1980,144.5
01/03/1980,235.2
01/04/1980,317.3
01/05/1980,426.4
01/06/1980,509.8
01/07/1980,608.2
01/08/1980,696.4
01/09/1980,827.6
01/10/1980,928.4
01/11/1980,1028.1
01/12/1980,1150.4
01/01/1981,116.4
01/02/1981,207.6
01/03/1981,343.9
01/04/1981,455.2
01/05/1981,608.9
01/06/1981,723.4
01/07/1981,843.8
01/08/1981,947.1
01/09/1981,1112.8
01/10/1981,1237.9
01/11/1981,1367.6
01/12/1981,1524.4
01/01/1982,148.6
01/02/1982,289.2
01/03/1982,487.6
01/04/1982,656.1
01/05/1982,883.2
01/06/1982,1093.7
01/07/1982,1312
01/08/1982,1535.8
01/09/1982,1795.4
01/10/1982,2044
01/11/1982,2310.8
01/12/1982,2687.6
01/01/1983,397.1
01/02/1983,726
01/03/1983,1116.9
01/04/1983,1500.6
01/05/1983,1983.6
01/06/1983,2368.5
01/07/1983,2842
01/08/1983,3322.9
01/09/1983,3906.9
01/10/1983,4374.4
01/11/1983,4948.7
01/12/1983,5678.8
01/01/1984,673.5
01/02/1984,1230.1
01/03/1984,1920.6
01/04/1984,2649.2
01/05/1984,3516.7
01/06/1984,4214.3
01/07/1984,4997.4
01/08/1984,6112.4
01/09/1984,6670.3
01/10/1984,7454.8
01/11/1984,8319.4
01/12/1984,9182.4
01/01/1985,1139.8
01/02/1985,2078.8
01/03/1985,3148.8
01/04/1985,4397.5
01/05/1985,5749
01/06/1985,6894.2
01/07/1985,8020.8
01/08/1985,9279.7
01/09/1985,10758.5
01/10/1985,12184.2
01/11/1985,13545.2
01/12/1985,15335.5
01/01/1986,1873.8
01/02/1986,3414.8
01/03/1986,5068.6
01/04/1986,6757.1
01/05/1986,8678
01/06/1986,10458.8
01/07/1986,12664.5
01/08/1986,14683.1
01/09/1986,17152.7
01/10/1986,19659.2
01/11/1986,22130.1
01/12/1986,25056.6
01/01/1987,2997.8
01/02/1987,5822.6
01/03/1987,9568.1
01/04/1987,13433.5
01/05/1987,17325.6
01/06/1987,21868.6
01/07/1987,26811.6
01/08/1987,31733.9
01/09/1987,37252
01/10/1987,43413.3
01/11/1987,49603.8
01/12/1987,57061.7
01/01/1988,8072.2
01/02/1988,16376.6
01/03/1988,26611.1
01/04/1988,35626.9
01/05/1988,45263.5
01/06/1988,54675.6
01/07/1988,64865.6
01/08/1988,75604.9
01/09/1988,85403.5
01/10/1988,94542
01/11/1988,103902.1
01/12/1988,115506.8
01/01/1989,11673.8
01/02/1989,21468.6
01/03/1989,32774.4
01/04/1989,43749.1
01/05/1989,55794.6
01/06/1989,67472
01/07/1989,80032.4
01/08/1989,91862.1
01/09/1989,104206.3
01/10/1989,116579.9
01/11/1989,128070.2
01/12/1989,141550.1
01/01/1990,15527.7
01/02/1990,28276.2
01/03/1990,42560.9
01/04/1990,56635.6
01/05/1990,70683.7
01/06/1990,85377.4
01/07/1990,100310.7
01/08/1990,115981.3
01/09/1990,131305.3
01/10/1990,148596.6
01/11/1990,166033
01/12/1990,187701.6
01/01/1991,27641.4
01/02/1991,43629.7
01/03/1991,59919.3
01/04/1991,78214.5
01/05/1991,102122.6
01/06/1991,122376.5
01/07/1991,141983.6
01/08/1991,161779.7
01/09/1991,186711.1
01/10/1991,208019.3
01/11/1991,229982.7
01/12/1991,254383
01/01/1992,25729.9
01/02/1992,46342.9
01/03/1992,73490.6
01/04/1992,95555.4
01/05/1992,121442.3
01/06/1992,148834.7
01/07/1992,172439.9
01/08/1992,201898.9
01/09/1992,223898.9
01/10/1992,246132.8
01/11/1992,267923.4
01/12/1992,295478.2
01/01/1993,24247.3
01/02/1993,43844.5
01/03/1993,68134.1
01/04/1993,93108.9
01/05/1993,116099.6
01/06/1993,139998.1
01/07/1993,165267.9
01/08/1993,189141.1
01/09/1993,212982.7
01/10/1993,237268.9
01/11/1993,260290.7
01/12/1993,290612.5
01/01/1994,28936.9
01/02/1994,51458.1
01/03/1994,78957.3
01/04/1994,106248.6
01/05/1994,131907.3
01/06/1994,157632.4
01/07/1994,186264.8
01/08/1994,213875.1
01/09/1994,241911.3
01/10/1994,269136.4
01/11/1994,295302.1
01/12/1994,326858.4
01/01/1995,30291.5
01/02/1995,56309.5
01/03/1995,88596.8
01/04/1995,120068.7
01/05/1995,155419.4
01/06/1995,190551
01/07/1995,225471.4
01/08/1995,260453.6
01/09/1995,292142.4
01/10/1995,328088.9
01/11/1995,362577.8
01/12/1995,418375.5
01/01/1996,42787.9
01/02/1996,79385.9
01/03/1996,122237.7
01/04/1996,168648.4
01/05/1996,216951.2
01/06/1996,257726.1
01/07/1996,306313.6
01/08/1996,354803.2
01/09/1996,399282.7
01/10/1996,451461.2
01/11/1996,504385.9
01/12/1996,578981.4
01/01/1997,63676.3
01/02/1997,115606.2
01/03/1997,170475.7
01/04/1997,229623.7
01/05/1997,286297.6
01/06/1997,346728.9
01/07/1997,405985.8
01/08/1997,461613.7
01/09/1997,513224.8
01/10/1997,575318.4
01/11/1997,635655.1
01/12/1997,734664.7
01/01/1998,68131
01/02/1998,124153.9
01/03/1998,186861.4
01/04/1998,252734.5
01/05/1998,310805.9
01/06/1998,370985
01/07/1998,438229.4
01/08/1998,502350.7
01/09/1998,566773.1
01/10/1998,635803.2
01/11/1998,699928.5
01/12/1998,781947.6
01/01/1999,76860.1
01/02/1999,140738
01/03/1999,224234.1
01/04/1999,311131.3
01/05/1999,382980.2
01/06/1999,456258.1
01/07/1999,532760.9
01/08/1999,612899.5
01/09/1999,689642.3
01/10/1999,773238.7
01/11/1999,856184.9
01/12/1999,954816.5
01/01/2000,105025.5
01/02/2000,186201.5
01/03/2000,290277
01/04/2000,388255.2
01/05/2000,477461.1
01/06/2000,569271.9
01/07/2000,677869.8
01/08/2000,776277.5
01/09/2000,868875.3
01/10/2000,981936.3
01/11/2000,1082016.5
01/12/2000,1178813.1
01/01/2001,127370.2
01/02/2001,218162.9
01/03/2001,319542
01/04/2001,431363.8
01/05/2001,525956.8
01/06/2001,631297.7
01/07/2001,738196.2
01/08/2001,854788.7
01/09/2001,961774.5
01/10/2001,1075010.4
01/11/2001,1171869.5
01/12/2001,1271376.6
01/01/2002,123414.9
01/02/2002,213922.9
01/03/2002,313979.1
01/04/2002,435961.1
01/05/2002,545811.1
01/06/2002,670844.8
01/07/2002,786323.1
01/08/2002,897266.5
