
"Banco de México"

"Finanzas públicas"
"Ingresos Presupuestales del Sector Público"

"Fecha de consulta: 28/05/2024 01:06:41"

""

"Título","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros","Ingresos y Gastos de Pemex, Medición por Ingreso-Gasto, Flujos de caja, Ingreso total, Ingreso propio","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Transferencias del FMPED 8/","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal, ISR de contratistas y asignatarios","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Derechos, Hidrocarburos","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal, Derechos a los hidrocarburos 3/, DOSH","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal, Derechos a los hidrocarburos 3/, DEEP","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal, Derechos a los hidrocarburos 3/, DHFE","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal, Derechos a los hidrocarburos 3/, DFICTME","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal, Derechos a los hidrocarburos 3/, DFP","","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, Petroleros, Gobierno Federal, ARE 4/","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, No Petroleros","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, No Petroleros, Gobierno Federal","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, No Petroleros, Gobierno Federal, Tributarios","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, ISR","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IETU","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IDE","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IVA","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IEPS","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IEPS, IEPS gasolinas y diesel","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IEPS, IEPS distinto de gasolinas y diesel","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, lmpuestos al comercio exterior, Importaciones","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, Tributarios, IAEEH 6/","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, No Petroleros, Gobierno Federal, Tributarios, Otros 5/","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, No Petroleros, Gobierno Federal, No Tributarios","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Derechos, Otros","Ingresos y Gastos Presupuestales del Gobierno Federal, Medición por Ingreso-Gasto, Flujos de Caja, Ingreso total, No tributarios, Productos","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, No Petroleros, Gobierno Federal, No Tributarios, Aprovechamientos","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, No Petroleros, Gobierno Federal, No Tributarios, Accesorios 6/","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Ingresos presupuestarios, No Petroleros, Organismos y empresas","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, IVA gasolinas","Ingresos Presupuestales del Sector Público, Medición por Ingreso-Gasto, Flujos de Caja, Resto de IVA"
"Periodo disponible","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024","Ene 1977 - Mar 2024"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados","Flujos Acumulados"
"Unidad","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos","Millones de Pesos"
"Base","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SG8","SG255","SG117","SG256","SG1455","SG1459","SG78","SG617","SG618","SG619","SG620","SG621","SG1460","SG461","SG257","SG258","SG259","SG80","SG910","SG911","SG81","SG54","SG79","SG55","SG83","SG1454","SG263","SG264","SG62","SG63","SG361","SG266","SG267","SG460","SG261"
01/01/1977,30.2,4.6,3.7,0.9,0.0,0.0,0.9,0.9,N/E,N/E,N/E,N/E,N/E,0.0,25.7,13.2,12.1,6.3,N/E,N/E,1.3,2.3,0.8,1.6,0.7,0.0,1.5,1.1,0.5,0.3,0.2,0.1,12.4,0.0,1.3
01/02/1977,57.7,9.0,7.2,1.8,N/E,N/E,1.7,1.7,N/E,N/E,N/E,N/E,N/E,0.0,48.8,29.9,28.1,10.6,N/E,N/E,8.0,4.4,1.5,2.8,1.4,N/E,3.6,1.8,0.9,0.4,0.4,0.1,18.9,0.0,8.0
01/03/1977,95.4,14.8,12.1,2.8,N/E,N/E,2.8,2.8,N/E,N/E,N/E,N/E,N/E,0.0,80.5,48.4,44.2,18.8,N/E,N/E,11.0,6.5,2.3,4.2,2.3,N/E,5.6,4.2,1.3,0.7,2.0,0.2,32.1,0.0,11.0
01/04/1977,125.4,20.4,17.0,3.4,N/E,N/E,3.4,3.4,N/E,N/E,N/E,N/E,N/E,0.0,105.0,64.7,59.6,26.3,N/E,N/E,13.5,8.8,3.2,5.6,3.0,N/E,8.0,5.1,1.8,0.9,2.2,0.3,40.3,0.0,13.5
01/05/1977,164.1,23.7,19.7,4.1,N/E,N/E,4.1,4.1,N/E,N/E,N/E,N/E,N/E,0.0,140.4,84.9,78.3,37.5,N/E,N/E,16.2,11.2,4.0,7.2,3.9,N/E,9.6,6.6,2.1,1.0,3.1,0.3,55.5,0.0,16.2
